#,title,videoUrl,videoId,publishedAt,position
26,"3.26 Alternatives (Instead of doing, Rather than doing)",https://www.youtube.com/watch?v=acQa0gfsruA&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=26,acQa0gfsruA,2023-04-10T05:32:15Z,25
27,"3.27 Third Conditional (If you'd been there, would you have)",https://www.youtube.com/watch?v=IezrrKEzZK8&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=27,IezrrKEzZK8,2023-04-10T05:32:45Z,26
28,3.28 Third Conditional Questions & Go Blank (When did you last go blank),https://www.youtube.com/watch?v=ZvTCgED_zVQ&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=28,ZvTCgED_zVQ,2023-04-10T05:33:17Z,27
29,"3.29 Comparatives (less time than, not as patient as)",https://www.youtube.com/watch?v=6W85kTV067s&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=29,6W85kTV067s,2023-04-10T05:33:49Z,28
30,"3.30 Large Quantities & Even (millions of, she can even speak)",https://www.youtube.com/watch?v=sQoEK8Qp_hs&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=30,sQoEK8Qp_hs,2023-04-10T05:34:35Z,29
31,"3.31 Emphasis & Present Perfect (can't even remember, so far today)",https://www.youtube.com/watch?v=9bZoXpAlPkg&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=31,9bZoXpAlPkg,2023-04-10T13:12:45Z,30
32,"3.32 Suggestions & Phrasal Verbs (Let's, Let's not, get rid of)",https://www.youtube.com/watch?v=nojgJvyTPqI&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=32,nojgJvyTPqI,2023-04-10T13:13:18Z,31
33,"3.33 Comparatives Countables (fewer than, not as many as)",https://www.youtube.com/watch?v=RXrjQQ19Ia0&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=33,RXrjQQ19Ia0,2023-04-10T13:13:53Z,32
34,"3.34 Years & Used To (1306, didn't used to drink)",https://www.youtube.com/watch?v=Tdphi4DArgw&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=34,Tdphi4DArgw,2023-04-10T13:14:24Z,33
35,"3.35 Not Anymore & Modifiers (don't live anymore, not that beautiful)",https://www.youtube.com/watch?v=Bu24l7IQ4vI&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=35,Bu24l7IQ4vI,2023-04-10T13:15:18Z,34
