#,title,videoUrl,videoId,publishedAt,position
26,1.26: Is this FOR ME or FOR HER? & Numbers 11-20,https://www.youtube.com/watch?v=FKN8Xo3317w&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=26,FKN8Xo3317w,2023-04-08T13:23:04Z,25
27,1.27: I'm GIVING YOU a book & NUMBERS 1-100,https://www.youtube.com/watch?v=QPFBxsoFa18&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=27,QPFBxsoFa18,2023-04-08T13:24:02Z,26
28,1.28: I AM SMOKING & IS HE TALKING TO YOU?,https://www.youtube.com/watch?v=i-LmE1rHoWQ&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=28,i-LmE1rHoWQ,2023-04-08T13:25:00Z,27
29,1.29: WHERE are you GOING? & GOING vs COMING,https://www.youtube.com/watch?v=Sll1OzqHzl0&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=29,Sll1OzqHzl0,2023-04-08T13:25:51Z,28
30,"1.30: TO HOLD, TO CARRY & TO ASK A QUESTION",https://www.youtube.com/watch?v=YiKXzWzsiME&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=30,YiKXzWzsiME,2023-04-08T13:26:50Z,29
31,1.31: Is this MY book or YOUR book? & ONE HUNDRED AND...,https://www.youtube.com/watch?v=tOUsmbm-i58&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=31,tOUsmbm-i58,2023-04-08T13:28:25Z,30
32,1.32: MARIA'S pen & POINTING AT the ceiling,https://www.youtube.com/watch?v=TH7wRk-lBVc&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=32,TH7wRk-lBVc,2023-04-08T13:29:30Z,31
33,"1.33: Adjetivos Posesivos HIS, HER, ITS & FAMOUS FOR ITS...",https://www.youtube.com/watch?v=yymWmgeBp1I&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=33,yymWmgeBp1I,2023-04-08T13:30:38Z,32
34,"1.34: OUR, YOUR, THEIR side of the table & ONE HUNDRED AND...",https://www.youtube.com/watch?v=iGP2tqCccdk&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=34,iGP2tqCccdk,2023-04-08T13:31:37Z,33
35,"1.35: MONDAY, TUESDAY & THESE are THEIR books",https://www.youtube.com/watch?v=c_gCGvXP9WA&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=35,c_gCGvXP9WA,2023-04-08T13:32:26Z,34
36,1.36: IS THERE...? & ALSO / EITHER,https://www.youtube.com/watch?v=Ta-ovE3NHEs&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=36,Ta-ovE3NHEs,2023-04-08T13:58:30Z,35
37,1.37: SOME y ANY con incontables,https://www.youtube.com/watch?v=zuL05MCeMR8&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=37,zuL05MCeMR8,2023-04-08T13:59:29Z,36
38,1.38: IS THERE ANY water? & ARE THERE ANY toys?,https://www.youtube.com/watch?v=yjbcPj0N4K8&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=38,yjbcPj0N4K8,2023-04-08T14:00:24Z,37
39,1.39: ASK ME IF THERE ARE ANY... & SOME IS / SOME ARE,https://www.youtube.com/watch?v=pjd1mQLVsww&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=39,pjd1mQLVsww,2023-04-08T14:01:22Z,38
40,1.40: HOW MANY...? & NEAR / FAR FROM,https://www.youtube.com/watch?v=jbsrHlx-K5w&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=40,jbsrHlx-K5w,2023-04-08T14:02:25Z,39
41,1.41: Ordinal numbers (1st-10th) & How much... is there?,https://www.youtube.com/watch?v=IbgnV5e54xE&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=41,IbgnV5e54xE,2023-04-08T14:03:43Z,40
42,1.042: DANNY IS JANET'S SON & The months of the year,https://www.youtube.com/watch?v=QDPHbwBVxvs&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=42,QDPHbwBVxvs,2023-04-08T14:05:11Z,41
43,1.043: THE 16TH OF MAY or MAY 16TH & IN / ON for dates,https://www.youtube.com/watch?v=sHlx39Y1jEk&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=43,sHlx39Y1jEk,2023-04-08T14:06:05Z,42
44,1.044: WHAT TIME IS IT? & THE YEARS (1901),https://www.youtube.com/watch?v=6u1Rkh5ZKSI&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=44,6u1Rkh5ZKSI,2023-04-08T14:07:09Z,43
45,"1.45: Greetings (How do you do?) & Hundred thousands: 1-1,000,000",https://www.youtube.com/watch?v=lXrQw1GsnNk&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=45,lXrQw1GsnNk,2023-04-08T14:08:26Z,44
46,1.46: Imperatives (Tell me to),https://www.youtube.com/watch?v=COi-sgJwWSA&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=46,COi-sgJwWSA,2023-04-09T12:34:46Z,45
