#,title,videoUrl,videoId,publishedAt,position
26,AI 2 026 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=E6m09zmFxg8&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=26,E6m09zmFxg8,2023-08-06T19:37:29Z,25
27,AI 2 027 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=6GvgkzswrVI&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=27,6GvgkzswrVI,2023-08-06T19:38:05Z,26
28,AI 2 028 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=17OgKxkMXYY&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=28,17OgKxkMXYY,2023-08-06T19:38:42Z,27
29,AI 2 029 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=AXKfvZqW-6k&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=29,AXKfvZqW-6k,2023-08-06T19:39:18Z,28
30,AI 2 030 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=6CZsMIBB9Bg&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=30,6CZsMIBB9Bg,2023-08-06T19:39:52Z,29
31,AI 2 031 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=cpBm0DM2DeU&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=31,cpBm0DM2DeU,2023-08-06T19:45:30Z,30
32,AI 2 032 * “I find” + adjetivo * “I take off” * how long does it last?,https://www.youtube.com/watch?v=gex4Y24J5og&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=32,gex4Y24J5og,2023-08-06T19:46:12Z,31
33,AI 2 033,https://www.youtube.com/watch?v=1wjUObCaghM&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=33,1wjUObCaghM,2023-08-06T19:46:56Z,32
34,AI 2 034 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=vI3iMWK_vfs&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=34,vI3iMWK_vfs,2023-08-06T19:47:40Z,33
35,AI 2 035 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=mZ8hJPO7pUk&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=35,mZ8hJPO7pUk,2023-08-06T19:48:26Z,34
36,AI 2 036 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=gFFzVnVkc7U&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=36,gFFzVnVkc7U,2023-08-06T19:49:08Z,35
37,AI 2 037 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=xY3LFOJPL4Y&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=37,xY3LFOJPL4Y,2023-08-06T19:49:41Z,36
38,AI 2 038 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=y7o-nd_2na8&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=38,y7o-nd_2na8,2023-08-06T19:50:17Z,37
39,AI 2 039 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=rMu9QH9Zx7w&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=39,rMu9QH9Zx7w,2023-08-06T19:51:01Z,38
